,data_type,country,state,year,quarter,name,type,count,amount
0,aggregated,india,Na,2018,1,Recharge & bill payments,TOTAL,72550406,14472713558.652578
1,aggregated,india,Na,2018,1,Peer-to-peer payments,TOTAL,46982705,147245883542.77402
2,aggregated,india,Na,2018,1,Merchant payments,TOTAL,5368669,4656678915.140091
3,aggregated,india,Na,2018,1,Financial Services,TOTAL,3762820,815853105.1000277
4,aggregated,india,Na,2018,1,Others,TOTAL,5761576,4643217301.269438
5,aggregated,india,Na,2018,2,Recharge & bill payments,TOTAL,92033715,24351225616.36898
6,aggregated,india,Na,2018,2,Peer-to-peer payments,TOTAL,74558816,264767671095.31842
7,aggregated,india,Na,2018,2,Merchant payments,TOTAL,10613941,9052859939.339659
8,aggregated,india,Na,2018,2,Financial Services,TOTAL,5186569,1176991419.239996
9,aggregated,india,Na,2018,2,Others,TOTAL,4973199,5027454207.140578
10,aggregated,india,Na,2018,3,Peer-to-peer payments,TOTAL,202021587,425967421714.0399
11,aggregated,india,Na,2018,3,Recharge & bill payments,TOTAL,102290514,31364311860.394596
12,aggregated,india,Na,2018,3,Merchant payments,TOTAL,25175938,12433150984.830223
13,aggregated,india,Na,2018,3,Financial Services,TOTAL,6218596,891447809.4200314
14,aggregated,india,Na,2018,3,Others,TOTAL,5594554,4449556277.54975
15,aggregated,india,Na,2018,4,Peer-to-peer payments,TOTAL,200235002,594995709377.7327
16,aggregated,india,Na,2018,4,Recharge & bill payments,TOTAL,131917248,39578607327.024284
17,aggregated,india,Na,2018,4,Merchant payments,TOTAL,71498510,30497289208.339787
18,aggregated,india,Na,2018,4,Financial Services,TOTAL,5216165,868584631.5900131
19,aggregated,india,Na,2018,4,Others,TOTAL,8246415,5802659774.449921
20,aggregated,india,Na,2019,1,Peer-to-peer payments,TOTAL,404841331,887893108631.5128
21,aggregated,india,Na,2019,1,Recharge & bill payments,TOTAL,180504739,55473071028.87885
22,aggregated,india,Na,2019,1,Merchant payments,TOTAL,110496541,40575915112.522
23,aggregated,india,Na,2019,1,Financial Services,TOTAL,4627353,603852042.0000324
24,aggregated,india,Na,2019,1,Others,TOTAL,8526177,5484252454.8204155
25,aggregated,india,Na,2019,2,Peer-to-peer payments,TOTAL,384711008,1196425281586.9927
26,aggregated,india,Na,2019,2,Recharge & bill payments,TOTAL,209898072,76865848586.98372
27,aggregated,india,Na,2019,2,Merchant payments,TOTAL,206467182,73415840739.88434
28,aggregated,india,Na,2019,2,Financial Services,TOTAL,2650384,545329308.0899862
29,aggregated,india,Na,2019,2,Others,TOTAL,11656557,6969423863.830339
30,aggregated,india,Na,2019,3,Peer-to-peer payments,TOTAL,461911865,1440512511470.7004
31,aggregated,india,Na,2019,3,Merchant payments,TOTAL,376320628,123209398484.44376
32,aggregated,india,Na,2019,3,Recharge & bill payments,TOTAL,240103872,101520929811.06812
33,aggregated,india,Na,2019,3,Financial Services,TOTAL,2870292,617120839.9299941
