,data_type,country,state,year,quarter,name,type,count,amount
0,map,india,Na,2018,1,puducherry,TOTAL,104212,165825971.36983618
1,map,india,Na,2018,1,tamil nadu,TOTAL,6726622,11261557697.516891
2,map,india,Na,2018,1,uttar pradesh,TOTAL,12537805,13939970923.223106
3,map,india,Na,2018,1,madhya pradesh,TOTAL,8025395,8681603403.446348
4,map,india,Na,2018,1,andhra pradesh,TOTAL,9039585,11996276391.823706
5,map,india,Na,2018,1,tripura,TOTAL,148157,137978914.53062224
6,map,india,Na,2018,1,lakshadweep,TOTAL,778,1928611.1808777403
7,map,india,Na,2018,1,manipur,TOTAL,84069,128046173.93020926
8,map,india,Na,2018,1,maharashtra,TOTAL,16387034,21711613257.725674
9,map,india,Na,2018,1,dadra & nagar haveli & daman & diu,TOTAL,148549,175658384.10921687
10,map,india,Na,2018,1,meghalaya,TOTAL,49571,66250259.78990036
11,map,india,Na,2018,1,andaman & nicobar islands,TOTAL,6658,14631761.22198579
12,map,india,Na,2018,1,haryana,TOTAL,4480770,6793511514.660528
13,map,india,Na,2018,1,rajasthan,TOTAL,7591690,8926293130.726837
14,map,india,Na,2018,1,ladakh,TOTAL,6089,12532857.771114783
15,map,india,Na,2018,1,punjab,TOTAL,1870433,2780758224.854389
16,map,india,Na,2018,1,assam,TOTAL,1056881,1157804456.212469
17,map,india,Na,2018,1,jharkhand,TOTAL,2178921,2374186389.9194
18,map,india,Na,2018,1,odisha,TOTAL,5809821,4627632210.887628
19,map,india,Na,2018,1,bihar,TOTAL,5824302,6045758172.017314
20,map,india,Na,2018,1,kerala,TOTAL,1771380,2402674753.100502
21,map,india,Na,2018,1,karnataka,TOTAL,12016899,19217895314.012802
22,map,india,Na,2018,1,chandigarh,TOTAL,381895,613435420.8676233
23,map,india,Na,2018,1,telangana,TOTAL,8522766,13308204118.542435
24,map,india,Na,2018,1,himachal pradesh,TOTAL,481918,628737806.3723404
25,map,india,Na,2018,1,west bengal,TOTAL,11710225,10625978552.140453
26,map,india,Na,2018,1,gujarat,TOTAL,5948775,7577982255.034092
27,map,india,Na,2018,1,sikkim,TOTAL,44078,64650938.94036834
28,map,india,Na,2018,1,nagaland,TOTAL,42845,78005891.08612517
29,map,india,Na,2018,1,mizoram,TOTAL,18561,45227219.975790836
30,map,india,Na,2018,1,chhattisgarh,TOTAL,1891514,2149155557.2367463
31,map,india,Na,2018,1,jammu & kashmir,TOTAL,941568,1005371239.2561305
32,map,india,Na,2018,1,goa,TOTAL,160897,303856742.34308386
33,map,india,Na,2018,1,arunachal pradesh,TOTAL,45497,92387336.00940911
34,map,india,Na,2018,1,delhi,TOTAL,7122754,11211503806.91996
35,map,india,Na,2018,1,uttarakhand,TOTAL,1246685,1508545358.5238864
36,map,india,Na,2018,2,puducherry,TOTAL,130261,285801119.5324367
37,map,india,Na,2018,2,tamil nadu,TOTAL,9992128,20125844276.267662
38,map,india,Na,2018,2,uttar pradesh,TOTAL,17710943,25720201695.701435
39,map,india,Na,2018,2,madhya pradesh,TOTAL,10561412,15924081066.680986
40,map,india,Na,2018,2,andhra pradesh,TOTAL,12353918,22883914272.633617
41,map,india,Na,2018,2,tripura,TOTAL,214559,236891718.7161358
42,map,india,Na,2018,2,lakshadweep,TOTAL,2132,6187809.539400538
43,map,india,Na,2018,2,manipur,TOTAL,151721,253209721.319494
44,map,india,Na,2018,2,maharashtra,TOTAL,22285740,36357057241.12254
45,map,india,Na,2018,2,dadra & nagar haveli & daman & diu,TOTAL,202626,302070771.6561514
46,map,india,Na,2018,2,meghalaya,TOTAL,67857,117004667.8418316
47,map,india,Na,2018,2,andaman & nicobar islands,TOTAL,11340,28338535.507953547
48,map,india,Na,2018,2,haryana,TOTAL,6150931,11320414442.116663
49,map,india,Na,2018,2,rajasthan,TOTAL,9973697,15559086175.75962
50,map,india,Na,2018,2,ladakh,TOTAL,15010,47334902.5377415
51,map,india,Na,2018,2,punjab,TOTAL,2581163,4684672212.007125
52,map,india,Na,2018,2,assam,TOTAL,1663873,2350585135.537811
53,map,india,Na,2018,2,jharkhand,TOTAL,3152080,4721575659.062912
54,map,india,Na,2018,2,odisha,TOTAL,8158144,8488310339.620239
55,map,india,Na,2018,2,bihar,TOTAL,8632378,13506131109.672922
56,map,india,Na,2018,2,kerala,TOTAL,2308165,3886923343.44263
57,map,india,Na,2018,2,karnataka,TOTAL,17116447,33515580081.29709
58,map,india,Na,2018,2,chandigarh,TOTAL,479084,961223261.74473
59,map,india,Na,2018,2,telangana,TOTAL,10764670,23017201517.652737
60,map,india,Na,2018,2,himachal pradesh,TOTAL,687695,1183169301.3511178
61,map,india,Na,2018,2,west bengal,TOTAL,18082446,18629183470.204285
62,map,india,Na,2018,2,gujarat,TOTAL,7745733,12162684771.641388
63,map,india,Na,2018,2,sikkim,TOTAL,74578,143693085.52979562
64,map,india,Na,2018,2,nagaland,TOTAL,65599,153325577.88030174
65,map,india,Na,2018,2,mizoram,TOTAL,27051,83508405.55773437
66,map,india,Na,2018,2,chhattisgarh,TOTAL,2816156,4264170443.1617327
67,map,india,Na,2018,2,jammu & kashmir,TOTAL,1796326,2651206236.5028934
68,map,india,Na,2018,2,goa,TOTAL,229575,478603825.35861486
69,map,india,Na,2018,2,arunachal pradesh,TOTAL,82157,198970192.34204656
70,map,india,Na,2018,2,delhi,TOTAL,9373723,17446299902.205147
71,map,india,Na,2018,2,uttarakhand,TOTAL,1704122,2679755378.5510764
72,map,india,Na,2018,3,puducherry,TOTAL,190271,417658075.4942067
73,map,india,Na,2018,3,tamil nadu,TOTAL,15774078,29330092241.18405
74,map,india,Na,2018,3,uttar pradesh,TOTAL,26515356,37012114369.23937
75,map,india,Na,2018,3,madhya pradesh,TOTAL,17126985,24149742204.67322
76,map,india,Na,2018,3,andhra pradesh,TOTAL,25626061,35718044599.21416
77,map,india,Na,2018,3,tripura,TOTAL,377703,453863388.04059243
78,map,india,Na,2018,3,lakshadweep,TOTAL,1703,4339032.3119858485
79,map,india,Na,2018,3,manipur,TOTAL,189258,383331244.79412293
80,map,india,Na,2018,3,maharashtra,TOTAL,31538538,52260817733.24835
81,map,india,Na,2018,3,dadra & nagar haveli & daman & diu,TOTAL,289575,447639595.67817545
82,map,india,Na,2018,3,meghalaya,TOTAL,110290,209853661.53439403
83,map,india,Na,2018,3,andaman & nicobar islands,TOTAL,16265,55557471.13431113
84,map,india,Na,2018,3,haryana,TOTAL,8262024,16375139007.627964
85,map,india,Na,2018,3,rajasthan,TOTAL,14257098,24040768671.212967
86,map,india,Na,2018,3,ladakh,TOTAL,24864,84090977.14484604
87,map,india,Na,2018,3,punjab,TOTAL,3462108,7065687043.821184
88,map,india,Na,2018,3,assam,TOTAL,2351851,3811134989.9142647
89,map,india,Na,2018,3,jharkhand,TOTAL,8122621,8661571417.704563
90,map,india,Na,2018,3,odisha,TOTAL,30052155,23094515775.585766
91,map,india,Na,2018,3,bihar,TOTAL,14367804,20135804378.90174
92,map,india,Na,2018,3,kerala,TOTAL,3134348,5323025223.875498
93,map,india,Na,2018,3,karnataka,TOTAL,25980261,48225091755.80772
94,map,india,Na,2018,3,chandigarh,TOTAL,616936,1369354447.5343118
95,map,india,Na,2018,3,telangana,TOTAL,19332703,32030093209.72354
96,map,india,Na,2018,3,himachal pradesh,TOTAL,886754,1754041432.858025
97,map,india,Na,2018,3,west bengal,TOTAL,53705416,41843934183.177635
98,map,india,Na,2018,3,gujarat,TOTAL,11334149,17866404426.27552
99,map,india,Na,2018,3,sikkim,TOTAL,108500,235080226.95331776
100,map,india,Na,2018,3,nagaland,TOTAL,94371,241792742.9366532
101,map,india,Na,2018,3,mizoram,TOTAL,39316,116600738.12539022
